brand_id,formulation_id
BRAND_f6852fccd3e2dfb0e72b,FORM_7cacd2fee52594d2c2eb
BRAND_81c8820a0d795d98aae8,FORM_a2e715698c18e25071a6
BRAND_ce5da48657d7278eabfa,FORM_1e2f3c41f17b5154ce93
BRAND_2f6bd496d34fdef142df,FORM_76921db61bc1f67cc195
BRAND_cc1334966138604eb2fa,FORM_d01c13b78b75b0ccb33e
BRAND_b09f81b7a8256b480d9f,FORM_f67fb6679f50e31394ed
BRAND_9a0ea3862f8f71ad35b1,FORM_8cfafcd363f31197a761
BRAND_bc00f43796a79401769c,FORM_c35668c836401b9c6362
BRAND_eb6991a79a4365a8366b,FORM_4bce035f72e9da62f185
BRAND_bef075e713dc433a0b21,FORM_9ebf23573b9c3f3c0315
BRAND_21a8fd8dfdabeadbee24,FORM_b01c4459c20b4fe8b190
BRAND_2d6b4fda995baefec54e,FORM_e2e05a7b9535ae6b6fbe
BRAND_1184d9125b50a93e0d8f,FORM_092aa94ac567ed2eb11c
BRAND_d4d34b491c20fa80cdd3,FORM_4b6dfea7595d934143bc
BRAND_19baa28d1ebdbb18f0be,FORM_049a2e4a34e29ed5e95a
BRAND_19baa28d1ebdbb18f0be,FORM_cfde5ae9170ad0afe5df
BRAND_919065678e3bc49b8ac8,FORM_72b04397029f681ed12d
BRAND_3e85289c92a2fde7e099,FORM_672bb991dce99ef875d2
BRAND_39520f247bf19fba5353,FORM_0f970030a765cf95180e
BRAND_6598997b602b513d883c,FORM_83c84feb61bad0027702
BRAND_9fc20f47e84476fc6080,FORM_748367e6af8aeeea3430
BRAND_b09f81b7a8256b480d9f,FORM_8cfafcd363f31197a761
BRAND_9015573af8e93d892816,FORM_67138957ce36c4bb0df0
BRAND_2f9a851ee919f6aac73c,FORM_0a82e672a6e06582f977
BRAND_c5c4f90e4b7a2024c5c3,FORM_ae4de51474b116aa685d
BRAND_4352cd5aeb95c76e395d,FORM_8f6ece79649a2bec1f45
BRAND_72fe16b068e6a4a4fbae,FORM_ce8a72c8e537faed990c
BRAND_4619b0fad78af2ad1943,FORM_5891177d540a3d894d8d
BRAND_8c848e74d1f3ad2dc853,FORM_67ae2a6a5a75bbf3ab63
BRAND_64ae2172ffb0ab739103,FORM_7cacd2fee52594d2c2eb
BRAND_be11849e4481c7a89a31,FORM_7cacd2fee52594d2c2eb
BRAND_a8d99f8f80cbfb291a42,FORM_85bf04378e5d30149f81
BRAND_c9da6a08dab81e0c59ab,FORM_ae4de51474b116aa685d
BRAND_617ee92d85e30fe53450,FORM_ae4de51474b116aa685d
BRAND_97f2c01f79d71b85d992,FORM_a2e715698c18e25071a6
BRAND_d293f170ded694934d2c,FORM_2e49eb3c34f7fa6a3d57
BRAND_9e892e56673be31465c9,FORM_27a705e9615c7d62eff4
BRAND_a1ee0156c8a041d9a048,FORM_5bc802e7072a9c896062
BRAND_f48398c2b5a9f6216a09,FORM_6f35fdc59588578c7821
BRAND_d031535db3e8f0e837f0,FORM_ab78c9c9062d0c72d47d
BRAND_20339c756aa4844c6ccb,FORM_d7ef43788c86f9e7570f
BRAND_95a70124a33df4cd1c4f,FORM_8446a83051742edd2cea
BRAND_8266394dac522223bad2,FORM_d8acadde7de96cefc681
BRAND_ab03e8e431d335768fbb,FORM_a6752a787841a88b1d41
BRAND_430eeac0a223bc0396e2,FORM_ca10c1396d07fa152ed0
BRAND_291b85de445b9944d34f,FORM_5b975f945aec7be66998
BRAND_9c6bc87aef60a9e90031,FORM_3f352ac219d065882a86
BRAND_a9d73b0a2c45e03b3340,FORM_5b975f945aec7be66998
BRAND_c4c2e325eb66404f24e8,FORM_83c84feb61bad0027702
BRAND_834a435ee98755a2554b,FORM_629780d1428421f9d47d
BRAND_bc2e663904ef76d62802,FORM_ded13224d41937e37aa4
BRAND_3bcee1712ea92fd8c35b,FORM_83c84feb61bad0027702
BRAND_53682946aa5d66f974a6,FORM_a2e715698c18e25071a6
