brand_id,brand_name_display,brand_name_normalized
BRAND_f6852fccd3e2dfb0e72b,Hepaclex,hepaclex
BRAND_81c8820a0d795d98aae8,Heparin Leo,heparin leo
BRAND_ce5da48657d7278eabfa,Actrapid,actrapid
BRAND_2f6bd496d34fdef142df,Insulatard,insulatard
BRAND_cc1334966138604eb2fa,Levemir FlexPen,levemir flexpen
BRAND_b09f81b7a8256b480d9f,NovoMix 30 FlexPen,novomix 30 flexpen
BRAND_9a0ea3862f8f71ad35b1,NovoRapid Flexpen,novorapid flexpen
BRAND_bc00f43796a79401769c,Aldurazyme,aldurazyme
BRAND_eb6991a79a4365a8366b,Elaprase,elaprase
BRAND_bef075e713dc433a0b21,Apidra,apidra
BRAND_21a8fd8dfdabeadbee24,Fabrazyme,fabrazyme
BRAND_2d6b4fda995baefec54e,Gonal-F,gonal-f
BRAND_1184d9125b50a93e0d8f,Simulect,simulect
BRAND_d4d34b491c20fa80cdd3,Humalog Kwikpen,humalog kwikpen
BRAND_19baa28d1ebdbb18f0be,Scitropin A,scitropin a
BRAND_919065678e3bc49b8ac8,Recormon,recormon
BRAND_3e85289c92a2fde7e099,Herceptin,herceptin
BRAND_39520f247bf19fba5353,Lucentis,lucentis
BRAND_6598997b602b513d883c,Neubicyte,neubicyte
BRAND_9fc20f47e84476fc6080,Adcetris,adcetris
BRAND_9015573af8e93d892816,Innohep,innohep
BRAND_2f9a851ee919f6aac73c,Thromboflux,thromboflux
BRAND_c5c4f90e4b7a2024c5c3,Insuget 70/30,insuget 70/30
BRAND_4352cd5aeb95c76e395d,Proquad,proquad
BRAND_72fe16b068e6a4a4fbae,Actilyse,actilyse
BRAND_4619b0fad78af2ad1943,Remicade,remicade
BRAND_8c848e74d1f3ad2dc853,Menopur,menopur
BRAND_64ae2172ffb0ab739103,Lomoh-60,lomoh-60
BRAND_be11849e4481c7a89a31,Lomoh-40,lomoh-40
BRAND_a8d99f8f80cbfb291a42,Actemra,actemra
BRAND_c9da6a08dab81e0c59ab,Insuget-N,insuget-n
BRAND_617ee92d85e30fe53450,Insuget-R,insuget-r
BRAND_97f2c01f79d71b85d992,Heprin,heprin
BRAND_d293f170ded694934d2c,Mabthera,mabthera
BRAND_9e892e56673be31465c9,Gazyva,gazyva
BRAND_a1ee0156c8a041d9a048,Fluarix Tetra,fluarix tetra
BRAND_f48398c2b5a9f6216a09,Scapho,scapho
BRAND_d031535db3e8f0e837f0,Prevenar 13,prevenar 13
BRAND_20339c756aa4844c6ccb,Chorapur1072025,chorapur1072025
BRAND_95a70124a33df4cd1c4f,Mvasi,mvasi
BRAND_8266394dac522223bad2,Keytruda,keytruda
BRAND_ab03e8e431d335768fbb,Sylvant,sylvant
BRAND_430eeac0a223bc0396e2,Basagine,basagine
BRAND_291b85de445b9944d34f,Albunorm 20%,albunorm 20%
BRAND_9c6bc87aef60a9e90031,Gardasil 9,gardasil 9
BRAND_a9d73b0a2c45e03b3340,Albunorm 5%,albunorm 5%
BRAND_c4c2e325eb66404f24e8,Topneutor,topneutor
BRAND_834a435ee98755a2554b,Ryzodeg FlexTouch,ryzodeg flextouch
BRAND_bc2e663904ef76d62802,Ecovag,ecovag
BRAND_3bcee1712ea92fd8c35b,Macroleuco,macroleuco
BRAND_53682946aa5d66f974a6,Aprinol 25000,aprinol 25000
BRAND_d9373373ffff6272a0fd,Aprinol 5000,aprinol 5000
BRAND_6d66b0762dcd8f1a80ca,Pergoveris,pergoveris
BRAND_fd1f3a3857d943e75bdb,Octanate,octanate
BRAND_a1070a8bfd7048254d63,NovoRapid Flex Touch,novorapid flex touch
BRAND_8339c313d025efd23c38,Filgen,filgen
BRAND_f0d482bcf5dfdd91c8d8,Anaferon,anaferon
BRAND_26e457999e9c1524ed61,Zarzio,zarzio
BRAND_1636de4cf07c7c4d28ee,Botox,botox
BRAND_3c97d63ad19d7506f38c,Entyvio,entyvio
BRAND_b08ec69d3a48a062428e,Praxbind,praxbind
BRAND_7f3fcc5720d5c6682c84,PEGNANO,pegnano
BRAND_2a7fc8bd593712810586,DYPOTIN,dypotin
BRAND_4741409db1947f6f58d7,Mixtard 30,mixtard 30
BRAND_bd4ccee4ee0f366205ed,Humira,humira
BRAND_f25a4c59360e2072728f,Neulastim,neulastim
BRAND_885025409f70d8255f14,Neupogen,neupogen
BRAND_6c6a3bef1bf8a8d4e0ff,Biofil,biofil
BRAND_5c6cb51a3c363bfa0f53,Xultophy,xultophy
BRAND_525463b75b2a776ff5c8,Levemir Penfill,levemir penfill
BRAND_9faa0a9cdd612fac433d,Xeomin,xeomin
BRAND_d48dedb3d210b93d6d6b,Jusline N,jusline n
BRAND_276315d30e5b3f5cde11,Jusline R,jusline r
BRAND_eb83e777119a62e98a1e,Jusline 30/70,jusline 30/70
BRAND_ddc6c9edc3748c20cab9,Hertraz,hertraz
BRAND_a111da2deae9ddbf4e46,Privigen,privigen
BRAND_82b7acd47290d3a15565,Follitrope,follitrope
BRAND_b9d5eab8201a114bed7e,TheraCIM,theracim
BRAND_41755c49d69585963b4c,Humog 150,humog 150
BRAND_495232e9d82bca66f6e6,Humog 75,humog 75
BRAND_af806dc3887af7569fab,"Hucog-5,000 Hp","hucog-5,000 hp"
BRAND_a3512a6c58a2513d9347,Foliculin -75 HP,foliculin -75 hp
BRAND_c10385d4096089b1187f,Eupenta,eupenta
BRAND_100bab6065fcfca3ba8f,Fiasp Flextouch,fiasp flextouch
BRAND_1de36cc0a4b8fcd4f70d,Fiasp,fiasp
BRAND_a6b941161cb5c9c71068,Soliqua,soliqua
BRAND_4d4dbb944d46e9dc4124,Alburx,alburx
BRAND_09f3f92e3924dae57d99,Etveza 25,etveza 25
BRAND_dc8ffeac08aba714621d,Tecentriq,tecentriq
BRAND_64a61309979dc646aa00,Influvac Tetra,influvac tetra
BRAND_37ab029562e2dfd3bffb,NovoSeven RT,novoseven rt
BRAND_7b2f5e13a71b1c1af090,Humulin N,humulin n
BRAND_2ba7e1d23fc3a2402705,Rotasiil,rotasiil
BRAND_f85848f95a2690a6b74e,Poliovac,poliovac
BRAND_e43bcb0bcb01ad13a303,Havrix 720,havrix 720
BRAND_08cf767849f077315e8b,Havrix 1440,havrix 1440
BRAND_61eff27c8ff4c153860d,Varilrix,varilrix
BRAND_e8d678cc5ce3ee40f0d3,Synflorix,synflorix
BRAND_0cd42c78ae9464cfb6f6,Herzuma,herzuma
BRAND_1e189c171447f63967f7,Ozempic,ozempic
BRAND_6ce4e81c3bc0d643a0f6,Enbrel,enbrel
BRAND_481afafc26a80d042a81,Pneumosil,pneumosil
BRAND_f5f0303f73ae0c18a5b3,Green-VIII Inj.,green-viii inj.
BRAND_f21f7ccf95e36cb0afa3,Imfinzi,imfinzi
BRAND_9c88fa4b24aabd3c7ab3,Eugamma SN 10% Inj.,eugamma sn 10% inj.
BRAND_a0bc41ff0b7e8a8db1e8,Abhay-TOX,abhay-tox
BRAND_c1eee584580864ce91af,Mixtard 30 Flexpen,mixtard 30 flexpen
BRAND_fa588166ee053c739c80,Norditropin Nordiflex,norditropin nordiflex
BRAND_39a53c50173ee10d7a13,Zirabev,zirabev
BRAND_be718926449ee787259a,Trazimera,trazimera
BRAND_b8a1f42a5fade20d0ee5,Pentaglobin,pentaglobin
BRAND_04aae7586de0da985b54,Infasurf,infasurf
BRAND_55973f2a86b99524fef8,Xyntha,xyntha
BRAND_832760d7738b918b011b,Euvichol-Plus,euvichol-plus
BRAND_2f720e48d484fb6a658a,Avamab,avamab
BRAND_92571e08f378d21967ae,Menquadfi,menquadfi
BRAND_d875c55199658f38e69c,Tresiba Flextouch,tresiba flextouch
BRAND_6df500c63a7a882d5c7f,Avirin,avirin
BRAND_d0648fce492c4eecc081,Bioshoot,bioshoot
BRAND_48f1d76474588fb36cef,TachoSil,tachosil
BRAND_5f0a25c7bdd3c7dc5920,Polivy,polivy
BRAND_e93334f958c10fa9a8fc,Vsiqq,vsiqq
BRAND_5fe44c23d0e4114161a2,Cosentyx,cosentyx
BRAND_1f7af6321835f59ae5d8,Kanjinti,kanjinti
BRAND_db879ebfcb4bef6319e5,Abevmy,abevmy
BRAND_d5cc993bfff2ac37b35e,Ruxience,ruxience
BRAND_b72e12e5e0517db7e2c4,Phesgo,phesgo
BRAND_80315a4d6a9a8cd7c2c4,Erysaa,erysaa
BRAND_b83d7c3fc62139439034,Rybelsus,rybelsus
BRAND_9c27b99d451970d57b7b,Bevac,bevac
BRAND_59ba73546e0f017a50ac,Stelara,stelara
BRAND_b28476b3c0981a339ffe,Idacio,idacio
BRAND_469001313988027758d8,Bonspri,bonspri
BRAND_79eb336d3cf5e41cf43c,Ilumya,ilumya
BRAND_7b4d60aa9ce1844795bb,Shan 5,shan 5
BRAND_85ce12fe4887d80cddd5,Darzalex SC,darzalex sc
BRAND_ef8f52f7b63304c848b5,Vaxneuvance,vaxneuvance
BRAND_88513dd41a6631af9966,BeneFIX,benefix
BRAND_eccca73a021f04737340,Vabysmo,vabysmo
BRAND_ee671b5e9c8870e50af2,Erceflora,erceflora
BRAND_5153fe4177e63983913c,Rotasiil-Liquid,rotasiil-liquid
BRAND_583aa1a2e5931457aa21,Ceparin,ceparin
BRAND_caa33220ad00c6d8cc25,Ronapreve,ronapreve
BRAND_6b9f1d2fb31d085ba522,Torcand-32,torcand-32
BRAND_ffc324223f119b3dbbd7,Rybrevant,rybrevant
BRAND_665f7e4962c081253ff2,Broncho-Vaxom,broncho-vaxom
BRAND_d6bf81f2bf848a7dec25,Shingrix,shingrix
BRAND_8e1b7dafc0cfc984ade3,Feiba,feiba
BRAND_a34cca9e41a5b0915787,Acellbia,acellbia
BRAND_2c3e5af4ae5f97ed9c1e,Rotarix,rotarix
BRAND_a622d0d9e950bd6e47ec,Laennec,laennec
BRAND_3fa647a1d7123e55cd34,Unihepa,unihepa
BRAND_11851eb109dab34b9463,Pneumocon-13,pneumocon-13
BRAND_b59223f33e79da7d232c,Pneumocon 13,pneumocon 13
BRAND_4c00c0938ea85fca8983,Pneumops 23,pneumops 23
BRAND_ecf434bd490a5df5434c,Botitox Up,botitox up
BRAND_62f24c311543be616c3d,Arexvy,arexvy
BRAND_e61f7ced5002b4b80952,Kirsty,kirsty
BRAND_94d0f2561feeeacb23ca,Imjudo,imjudo
BRAND_44b93b7a4d2ee8dd07c8,Remsima,remsima
BRAND_e7853cf326ad15961273,Ocrevus,ocrevus
BRAND_b36be9c51460e6727b95,Hertumab,hertumab
BRAND_6e59d3890dd38e7e77a5,Enhertu,enhertu
BRAND_9cb714025c70fdfa382e,Jeev,jeev
BRAND_4b9aa9738488ac07365f,Saphnelo,saphnelo
BRAND_2f92b499b90654e96a93,Bavencio,bavencio
BRAND_c2cec3f72d8c5867ebd0,Wegovy,wegovy
BRAND_205596139bf115816a41,Rituxell,rituxell
BRAND_9124c0baa71f7eb2a495,Bevalast,bevalast
BRAND_858de919d252603cddf2,Spevigo,spevigo
BRAND_e7d3d42db3afd0d2ec9a,Hepadur,hepadur
BRAND_1da0229d392c3f388d2e,Bexsero,bexsero
BRAND_7899aa0ee92e02a2ac11,Rojusna,rojusna
BRAND_c2bea48bc186b60cfbc8,Prevenar 20,prevenar 20
BRAND_67066237c1a2f29f6a94,Abrysvo,abrysvo
BRAND_cf869619c0cbd2713517,Forteo,forteo
BRAND_dd70e05faedda153d594,Bett,bett
BRAND_f0577223f3abce27af2d,U-Tryp,u-tryp
BRAND_c68625c67c603b6ac7a9,JoyRab,joyrab
BRAND_c2435907aa3d86b398b6,Enomax,enomax
BRAND_905eb2096b4fcf10be25,Metalyse,metalyse
BRAND_b8f06724d74979925dcb,Fluprevli,fluprevli
BRAND_c5b1afb3e7af16e283eb,Erelzi,erelzi
BRAND_493cf7db86a894fbfd97,Terijack,terijack
BRAND_fc372c11dce26b70197f,Bevakal,bevakal
BRAND_b70cfdae1653a75b7712,Verorab,verorab
BRAND_ce448bc0d4090be6ce30,Typhim Vi,typhim vi
BRAND_03f7dc548d78fc11e7cb,Hepabig,hepabig
BRAND_8e1dc93141bb4d6aac50,Perdinus,perdinus
BRAND_1d6d797e5df68fa689cf,Ditevac,ditevac
BRAND_279428cf9d08d7e09025,T-VAC,t-vac
BRAND_79b953a8de4b6a9edd8d,Hepatitis B Immunoglobulin (Human),hepatitis b immunoglobulin (human)
BRAND_4ab9c6aeb0050c98e37e,M-Vac,m-vac
BRAND_9151f5c82cb0b913306f,Twinrix Adult,twinrix adult
BRAND_f5f26a8c5d08a9e02c0c,Profilnine SD,profilnine sd
BRAND_0d4d6d12c1313a2c0085,Tresivac,tresivac
BRAND_e21a4d757e09a76963d8,Human Albumin 20% Behring (Low Salt),human albumin 20% behring (low salt)
BRAND_40fd09a6d5581660aaf6,SERO-TET,sero-tet
BRAND_5b211f04b760f012464d,ALBUMAX,albumax
BRAND_33df819827fcc87fa972,Albutein 25% Solution,albutein 25% solution
BRAND_876d23f20c457f12b02f,I.V. - GLOBULIN SN INJECTION,i.v. - globulin sn injection
BRAND_cbe29c06a23231832cdd,Zenalb 20,zenalb 20
BRAND_a2bac957bda29c88a939,Albutein,albutein
BRAND_3f4a8bd1b25a8a16c41c,Imovax Polio,imovax polio
BRAND_3c989704b8b5940ad65d,Hepliv,hepliv
BRAND_9ec34634946c7943c71d,Infanrix Hexa,infanrix hexa
BRAND_26b2791c412b66f22245,Avaxim 80,avaxim 80
BRAND_f423150344ff88df3f81,Chirorab,chirorab
BRAND_87566efac13519c08eb5,Vaxigrip Tetra,vaxigrip tetra
BRAND_a9314742c43774b63c5b,Pentaxim,pentaxim
BRAND_5c4f6c2a22be053c64d2,Antitet 1500 Iu,antitet 1500 iu
BRAND_b84b2124acd29cdd2f9c,Antitet 5000 Iu,antitet 5000 iu
BRAND_c7ed6d57cb93de7eb375,Antitet 3000 Iu,antitet 3000 iu
BRAND_43aa87f8cf917a06ff7b,Emoclot,emoclot
BRAND_3455c3d89f194041ef21,Aimafix,aimafix
BRAND_b96d34ebb07087dc253a,Dysport,dysport
BRAND_6a3f67728103330d3050,Kedrialb,kedrialb
BRAND_26a4eec1c3f0c7df9516,Alphanate,alphanate
BRAND_7b4161b89ac6d846e3d5,GENVAC-B,genvac-b
BRAND_ae5e25142bb74733f023,Neocyte,neocyte
BRAND_e3b28d7c93538733fe26,Alphanine SD 500 IU,alphanine sd 500 iu
BRAND_89731d741f8e35f6fd92,Tetagam P,tetagam p
BRAND_16ee4fb02f4d218aef57,Gardasil,gardasil
BRAND_333b30f3984d7ce629bc,Adacel,adacel
BRAND_88d8134ea28ce18af6be,Rotateq,rotateq
BRAND_67826a6a0b62ae2ce80a,Cervarix,cervarix
BRAND_986ddb07f21dfa7d0d51,IMATET,imatet
BRAND_3966b0cee369c4e72dbe,Thymogam,thymogam
BRAND_c26c3195202aa4e9a3f1,Abhayrab,abhayrab
BRAND_77481e220c6762debaad,Epotin,epotin
BRAND_71a099930c25ede400c8,Gamma I.V.,gamma i.v.
BRAND_a96e1bef012f5313239d,Epokine,epokine
BRAND_be81ee3194afa3935977,Mircera,mircera
BRAND_1da4443da722c97b3f41,Epogen,epogen
BRAND_960819472342f30fc07c,Ig Vena,ig vena
BRAND_3f48bd0139079c485cb1,Priorix-Tetra,priorix-tetra
BRAND_13e02a0ff43fdda002a3,Indirab,indirab
