formulation_id,generic_name_display,generic_name_normalized,ingredient_count,component_split_method
FORM_7cacd2fee52594d2c2eb,Enoxaparin Sodium,enoxaparin sodium,1,single
FORM_a2e715698c18e25071a6,Heparin Sodium,heparin sodium,1,single
FORM_1e2f3c41f17b5154ce93,Human Insulin (rDNA),human insulin (rdna),1,single
FORM_76921db61bc1f67cc195,"Isophane Insulin Human, Recombinant DNA","isophane insulin human, recombinant dna",1,single
FORM_d01c13b78b75b0ccb33e,Insulin Detemir,insulin detemir,1,single
FORM_f67fb6679f50e31394ed,Biphasic Insulin Aspart 30,biphasic insulin aspart 30,1,single
FORM_8cfafcd363f31197a761,Insulin Aspart,insulin aspart,1,single
FORM_e509910a45279d77fefc,Tetanus Toxoid Adsorbed,tetanus toxoid adsorbed,1,single
FORM_c35668c836401b9c6362,Laronidase,laronidase,1,single
FORM_4bce035f72e9da62f185,Idursulfase,idursulfase,1,single
FORM_9ebf23573b9c3f3c0315,Insulin glulisine,insulin glulisine,1,single
FORM_b01c4459c20b4fe8b190,Agalsidase Beta,agalsidase beta,1,single
FORM_e2e05a7b9535ae6b6fbe,Follitropin Alfa,follitropin alfa,1,single
FORM_092aa94ac567ed2eb11c,Basiliximab,basiliximab,1,single
FORM_4b6dfea7595d934143bc,Insulin Lispro (rDNA origin),insulin lispro (rdna origin),1,single
FORM_049a2e4a34e29ed5e95a,Somatropin (rbe),somatropin (rbe),1,single
FORM_cfde5ae9170ad0afe5df,Somatropin,somatropin,1,single
FORM_72b04397029f681ed12d,Epoetin Beta,epoetin beta,1,single
FORM_672bb991dce99ef875d2,Trastuzumab,trastuzumab,1,single
FORM_0f970030a765cf95180e,Ranibizumab,ranibizumab,1,single
FORM_83c84feb61bad0027702,Filgrastim,filgrastim,1,single
FORM_748367e6af8aeeea3430,Brentuximab vedotin,brentuximab vedotin,1,single
FORM_9d2afb6f61e8f78d9aa6,Heparin Sodium ( Bovine ),heparin sodium ( bovine ),1,single
FORM_67138957ce36c4bb0df0,Tinzaparin Sodium,tinzaparin sodium,1,single
FORM_0a82e672a6e06582f977,Streptokinase,streptokinase,1,single
FORM_ae4de51474b116aa685d,Insulin Human (rDNA),insulin human (rdna),1,single
