ingredient_id,ingredient_name_display,ingredient_name_normalized
ING_7cacd2fee52594d2c2eb,Enoxaparin Sodium,enoxaparin sodium
ING_a2e715698c18e25071a6,Heparin Sodium,heparin sodium
ING_1e2f3c41f17b5154ce93,Human Insulin (rDNA),human insulin (rdna)
ING_76921db61bc1f67cc195,"Isophane Insulin Human, Recombinant DNA","isophane insulin human, recombinant dna"
ING_d01c13b78b75b0ccb33e,Insulin Detemir,insulin detemir
ING_f67fb6679f50e31394ed,Biphasic Insulin Aspart 30,biphasic insulin aspart 30
ING_8cfafcd363f31197a761,Insulin Aspart,insulin aspart
ING_e509910a45279d77fefc,Tetanus Toxoid Adsorbed,tetanus toxoid adsorbed
ING_c35668c836401b9c6362,Laronidase,laronidase
ING_4bce035f72e9da62f185,Idursulfase,idursulfase
ING_9ebf23573b9c3f3c0315,Insulin glulisine,insulin glulisine
ING_b01c4459c20b4fe8b190,Agalsidase Beta,agalsidase beta
ING_e2e05a7b9535ae6b6fbe,Follitropin Alfa,follitropin alfa
ING_092aa94ac567ed2eb11c,Basiliximab,basiliximab
ING_4b6dfea7595d934143bc,Insulin Lispro (rDNA origin),insulin lispro (rdna origin)
ING_049a2e4a34e29ed5e95a,Somatropin (rbe),somatropin (rbe)
ING_cfde5ae9170ad0afe5df,Somatropin,somatropin
ING_72b04397029f681ed12d,Epoetin Beta,epoetin beta
ING_672bb991dce99ef875d2,Trastuzumab,trastuzumab
ING_0f970030a765cf95180e,Ranibizumab,ranibizumab
ING_83c84feb61bad0027702,Filgrastim,filgrastim
ING_748367e6af8aeeea3430,Brentuximab vedotin,brentuximab vedotin
ING_9d2afb6f61e8f78d9aa6,Heparin Sodium ( Bovine ),heparin sodium ( bovine )
ING_67138957ce36c4bb0df0,Tinzaparin Sodium,tinzaparin sodium
ING_0a82e672a6e06582f977,Streptokinase,streptokinase
ING_ae4de51474b116aa685d,Insulin Human (rDNA),insulin human (rdna)
ING_8f6ece79649a2bec1f45,"Measles, Mumps, Rubella and Varicella Vaccine (Live)","measles, mumps, rubella and varicella vaccine (live)"
ING_ce8a72c8e537faed990c,Alteplase,alteplase
ING_5891177d540a3d894d8d,Infliximab,infliximab
ING_67ae2a6a5a75bbf3ab63,Menotrophin,menotrophin
ING_85bf04378e5d30149f81,Tocilizumab,tocilizumab
ING_2e49eb3c34f7fa6a3d57,Rituximab,rituximab
ING_27a705e9615c7d62eff4,Obinutuzumab,obinutuzumab
ING_5bc802e7072a9c896062,"Quadrivalent Seasonal Influenza Vaccine (Split Virion, Inactivated) Southern Hemisphere 2026 Strain","quadrivalent seasonal influenza vaccine (split virion, inactivated) southern hemisphere 2026 strain"
ING_6f35fdc59588578c7821,Secukinumab,secukinumab
ING_ab78c9c9062d0c72d47d,"Pneumococcal Conjugate Vaccine, 13-Valent (adsorbed) (See formulation)","pneumococcal conjugate vaccine, 13-valent (adsorbed) (see formulation)"
ING_d7ef43788c86f9e7570f,Chorionic Gonadotropin,chorionic gonadotropin
ING_8446a83051742edd2cea,Bevacizumab,bevacizumab
ING_d8acadde7de96cefc681,Pembrolizumab,pembrolizumab
ING_a6752a787841a88b1d41,Siltuximab,siltuximab
ING_ca10c1396d07fa152ed0,Insulin glargine,insulin glargine
ING_5b975f945aec7be66998,Human Albumin,human albumin
ING_3f352ac219d065882a86,"Human Papillomavirus 9-Valent Vaccine (Recombinant, Adsorbed)","human papillomavirus 9-valent vaccine (recombinant, adsorbed)"
ING_4b613bae5a321af86c16,Insulin Degludec,insulin degludec
ING_95af3409b5827bcd23ea,Lactobacillus gasseri,lactobacillus gasseri
ING_3d54c805b60d3a3386fc,Lactobacillus rhamnosus,lactobacillus rhamnosus
ING_269b57c16e41f833839b,Lutropin Alfa,lutropin alfa
ING_6162b87aa356ab196a93,Human Coagulation Factor VIII,human coagulation factor viii
ING_c01a8b81a86fde976d94,Affinity-Purified Antibodies To Human Interferon Gamma,affinity-purified antibodies to human interferon gamma
ING_f0107063476830bea463,Clostridium Botulinum Type A Neurotoxin complex,clostridium botulinum type a neurotoxin complex
ING_1295eff27434d8cfb28a,Vedolizumab,vedolizumab
ING_e00f706e328b882d99b8,Idarucizumab,idarucizumab
ING_b4e296bf237a73f8b21f,Peginterferon alfa-2a,peginterferon alfa-2a
ING_b5c94b0468ed4b7374b0,RECOMBINANT HUMAN ERYTHROPOIETIN,recombinant human erythropoietin
ING_bc88785853f983da0f74,Isophane Insulin Human,isophane insulin human
ING_a8f2d9740283828dc362,Insulin Human (Regular),insulin human (regular)
ING_ee7c11e1a83e913350b3,Biphasic Insulin,biphasic insulin
ING_85801f64e8d69a442638,Adalimumab,adalimumab
ING_f08268964fa6d91c124c,Pegfilgrastim,pegfilgrastim
ING_f24132a6414bb496c999,Liraglutide,liraglutide
ING_ede8faa3dd0cdcefd44a,Botulinum Toxin Type A (from Clostridium botulinum),botulinum toxin type a (from clostridium botulinum)
