formulation_id,generic_name_display,reason
FORM_8f6ece79649a2bec1f45,"Measles, Mumps, Rubella and Varicella Vaccine (Live)",contains_and_not_automatically_split
FORM_edc5078885eddec42977,"Diphtheria, Tetanus, Pertussis, Hepatitis B Recombinant and Haemophilus influenza B Tyoe (Hib) Vaccine",contains_and_not_automatically_split
FORM_1afd049d6e04ab46efe0,"Inactivated Poliomyelitis Vaccine (Types 1, 2 And 3)",contains_and_not_automatically_split
FORM_d302fad6e5c7b3442319,"Meningococcal Group A, C, W-135 and Y Conjugate Vaccine",contains_and_not_automatically_split
FORM_4d1698a1c6a777e334c4,"Inactivated Poliomyelitis Vaccine (Types 1, 2, and 3)",contains_and_not_automatically_split
FORM_016cf6e08e1c50f85d0c,"Diphtheria, Tetanus, Pertussis (Whole Cell), Hepatitis B (IDNA) and Haemophilus influenzae Type B Conjugate Vaccine (Adsorbed)",contains_and_not_automatically_split
FORM_951fef058251f25719ff,"Oral Poliomyelitis Vaccine (Types 1 and 3)[ Live, Attenuated]",contains_and_not_automatically_split
FORM_7aba46645c74576eaf12,Diphtheria-Tetanus Toxoids and Pertussis (DTP),contains_and_not_automatically_split
FORM_30c8a1f1e5f0860effe1,Hepatitis A (inactivated) and hepatitis B (rDNA) (HAB) Vaccine (adsorbed),contains_and_not_automatically_split
FORM_5de4d4c2eb6c4fd58a33,"Measles, Mumps and Rubella Vaccine (Live, Attenuated)",contains_and_not_automatically_split
FORM_ce55323e64e855860427,"Inactivated Poliomyelitis Vaccine (Type 1,2 And 3)",contains_and_not_automatically_split
FORM_f4f4ab655f5a37cbbe3f,"Diphtheria, component), Tetanus and Pertussis (acellular Hepatitis B (rDNA), Poliomyelitis (inactivated) and Haemophilus influenzae Type B Conjugate Vaccine (adsorbed)",contains_and_not_automatically_split
FORM_801ff96a436c169aa66a,"Diphtheria, Tetanus, Pertussis (Acellular Component), And Poliomyelitis (Inactivated) Vaccine (Adsorbed)",contains_and_not_automatically_split
FORM_1050385fe2140f8e50e9,"Diphtheria, Tetanus, Pertussis (Acellular Poliomyelitis (Inactivated) Vaccine and Haemophilus influenzae Type B Conjugate Vaccine (Adsorbed)",contains_and_not_automatically_split
FORM_e8dfac9cd9b2b3e78f41,"Human Papillomavirus Vaccine (Types 6, 11, 16 And 18) (Recombinant Adsorbed",contains_and_not_automatically_split
FORM_a71564bec784437896f7,Tetanus and Diphtheria Toxoids Adsorbed combined with component Acellular Pertussis Vaccine,contains_and_not_automatically_split
FORM_04564e24ba992eb463c3,"Measles, Mumps, Rubella and Varicella Vaccine (Live, Attenuated)",contains_and_not_automatically_split
FORM_ac9f0174da1c0dae6c5e,"Diphtheria, Tetanus, Acellular Pertussis, Inactivated Poliomyelitis and Haemophilus influenzae Type B Conjugate Vaccine, Adsorbed",contains_and_not_automatically_split
FORM_0a341b236959d93afac3,Diphtheria and Tetanus Vaccine (Adsorbed),contains_and_not_automatically_split
FORM_dae20e4e49f48688b901,"Human Papillomavirus Vaccine [Types 16 and 18] (Recombinant, adjuvanted, adsorbed)",contains_and_not_automatically_split
FORM_461775b3c42085cc6353,Measles and Rubella Vaccine (Live),contains_and_not_automatically_split
FORM_d92e5665611079991965,"Live Measles, Mumps and Rubella Vaccine",contains_and_not_automatically_split
FORM_69ab296ffdb291e0987a,"LIVE ATTENUATED MEASLES, MUMPS and RUBELLA VACCINE",contains_and_not_automatically_split
FORM_379a4b22e0360f3a69ba,"Diphtheria, Tetanus, Pertussis (Acellular Component) Hepatitis B, Poliomyelitis (Inactivated) and Haemophilus influenza Type B Conjugate Vaccine (Adsorbed)",contains_and_not_automatically_split
