name_id,name_type,display_name,normalized_name,formulation_ids
BRAND:BRAND_2d211c21624c619e8422,brand,0.9% NaCl-Sapher,0.9% nacl-sapher,FORM_4c90339a265e1e6fa226
BRAND:BRAND_d0d9103bb04d59ef87db,brand,0.9% Sodchlorsaph,0.9% sodchlorsaph,FORM_4c90339a265e1e6fa226
BRAND:BRAND_4b814efc59eb1e09055a,brand,1 Ceeplus,1 ceeplus,FORM_ce5a30a92f94232d4856
BRAND:BRAND_66b354a3e66ca94c3ccd,brand,1000Vc,1000vc,FORM_b61041f9f0d9213a4c6a
BRAND:BRAND_6ef928289609b16b49c7,brand,2-Gen,2-gen,FORM_b52c56d58e379a9f6fc2
BRAND:BRAND_c1d9c20a0d850566b8a1,brand,2-Gen 750,2-gen 750,FORM_e75411f3b5cdf512a6be
BRAND:BRAND_42de41f3cb40409f71f0,brand,2-Gen SCP,2-gen scp,FORM_b52c56d58e379a9f6fc2
BRAND:BRAND_efdd84eef6207d0724c9,brand,2-King,2-king,FORM_b52c56d58e379a9f6fc2
BRAND:BRAND_47fecacc31576e0738c0,brand,2-Max,2-max,FORM_0d30a4aff77e8b84e729
BRAND:BRAND_b79dffd095b17fbf855b,brand,24 Alkaline-C,24 alkaline-c,FORM_b61041f9f0d9213a4c6a
BRAND:BRAND_4d3b6071578a7d312621,brand,2baconil TTS10,2baconil tts10,FORM_862f4a1488a61d636263
BRAND:BRAND_8e014fb1686bf5ea27d0,brand,2baconil TTS20,2baconil tts20,FORM_862f4a1488a61d636263
BRAND:BRAND_12a94b9b8b7c5eded8e9,brand,2baconil TTS30,2baconil tts30,FORM_862f4a1488a61d636263
BRAND:BRAND_8216a1b9a2f217aafaec,brand,2Tel 40,2tel 40,FORM_65aeaf9dda5b365d8186
BRAND:BRAND_3752303b29394d9a5e16,brand,2Tel 80,2tel 80,FORM_65aeaf9dda5b365d8186
BRAND:BRAND_e7cc3fdefc04611efe89,brand,3-Gen 1000,3-gen 1000,FORM_6cd509c88b776d2fbbe3
BRAND:BRAND_a9346749188f1068f764,brand,4 Life,4 life,FORM_87a9c8145254a1c57930
BRAND:BRAND_15fe668d7b5f40173597,brand,4 Quin,4 quin,FORM_3127bac21ba724dd0a96
BRAND:BRAND_762f373d46e644b52b80,brand,4-GEN 1000,4-gen 1000,FORM_cc8167efd07fd27bc45c
