canonical_name_id,canonical_name,alias_name_id,alias_name,name_type,normalization_key,shared_formulation_ids,review_classification,classification_basis,verification_status
GENERIC:FORM_4c90339a265e1e6fa226,0.9% Sodium Chloride,GENERIC:FORM_0676b5bdf5d6fd9f9876,0.9 % Sodium Chloride,generic,09sodiumchloride,,normalization_duplicate,"same entity type and name after removing visual formatting, trademark symbols, spaces, hyphens, and capitalization; pharmacologic + and / separators are preserved",automatically_normalized_not_lasa
GENERIC:FORM_81b6afabf4c9375a2709,"2,4 Dichlorobenzyl Alcohol + Amylmetacresol",GENERIC:FORM_dc83b15e73fcad287d72,"2, 4 Dichlorobenzyl Alcohol + Amylmetacresol",generic,24dichlorobenzylalcohol+amylmetacresol,,normalization_duplicate,"same entity type and name after removing visual formatting, trademark symbols, spaces, hyphens, and capitalization; pharmacologic + and / separators are preserved",automatically_normalized_not_lasa
GENERIC:FORM_81b6afabf4c9375a2709,"2,4 Dichlorobenzyl Alcohol + Amylmetacresol",GENERIC:FORM_9f2b369bc495f977d88c,"2, 4- Dichlorobenzyl Alcohol + Amylmetacresol",generic,24dichlorobenzylalcohol+amylmetacresol,,normalization_duplicate,"same entity type and name after removing visual formatting, trademark symbols, spaces, hyphens, and capitalization; pharmacologic + and / separators are preserved",automatically_normalized_not_lasa
GENERIC:FORM_81b6afabf4c9375a2709,"2,4 Dichlorobenzyl Alcohol + Amylmetacresol",GENERIC:FORM_c5e4f09baf99eae2701e,"2,4-Dichlorobenzyl Alcohol + Amylmetacresol",generic,24dichlorobenzylalcohol+amylmetacresol,,normalization_duplicate,"same entity type and name after removing visual formatting, trademark symbols, spaces, hyphens, and capitalization; pharmacologic + and / separators are preserved",automatically_normalized_not_lasa
BRAND:BRAND_e0131fefec7361a759bd,4COUGH,BRAND:BRAND_7ebaefdbb95f8963c82c,4 COUGH,brand,4cough,FORM_c183bab712f9f3c863b6,normalization_duplicate,"same entity type and name after removing visual formatting, trademark symbols, spaces, hyphens, and capitalization; pharmacologic + and / separators are preserved",automatically_normalized_not_lasa
GENERIC:FORM_3d525489d55b88834795,5% Dextrose In 0.9% Sodium Chloride,GENERIC:FORM_64b40ca8d42716eb045e,5% Dextrose in 0.9% Sodium Chloride.,generic,5dextrosein09sodiumchloride,,normalization_duplicate,"same entity type and name after removing visual formatting, trademark symbols, spaces, hyphens, and capitalization; pharmacologic + and / separators are preserved",automatically_normalized_not_lasa
BRAND:BRAND_692e37d0a8b944829865,A.N.B,BRAND:BRAND_6389ac5bf3d98c0014b6,A.N.B.,brand,anb,,normalization_duplicate,"same entity type and name after removing visual formatting, trademark symbols, spaces, hyphens, and capitalization; pharmacologic + and / separators are preserved",automatically_normalized_not_lasa
BRAND:BRAND_e5b0aab99391417e2ccd,Aecys 600,BRAND:BRAND_83341f7693b4e86377c8,Aecys-600,brand,aecys600,FORM_3aa4b4f7b10d5b0a85bd,normalization_duplicate,"same entity type and name after removing visual formatting, trademark symbols, spaces, hyphens, and capitalization; pharmacologic + and / separators are preserved",automatically_normalized_not_lasa
GENERIC:FORM_d2b1d13bd16ac3018de4,Afatinib (as dimaleate),GENERIC:FORM_7863fbe791271bd2cf88,Afatinib (as dim aleate),generic,afatinibasdimaleate,,normalization_duplicate,"same entity type and name after removing visual formatting, trademark symbols, spaces, hyphens, and capitalization; pharmacologic + and / separators are preserved",automatically_normalized_not_lasa
BRAND:BRAND_13e26811115ced038415,Aizet-S,BRAND:BRAND_43f008205a508e296d26,Aizet - S,brand,aizets,FORM_54238e9415df5dffbf4b,normalization_duplicate,"same entity type and name after removing visual formatting, trademark symbols, spaces, hyphens, and capitalization; pharmacologic + and / separators are preserved",automatically_normalized_not_lasa
