candidate_id,name_a_id,name_a_type,name_a,name_b_id,name_b_type,name_b,comparison_mode,jaro_winkler,levenshtein_distance,edit_similarity,soundex_a,soundex_b,soundex_similarity,filipino_jaro_winkler,candidate_reasons,algorithmic_priority,candidate_nature,review_classification,classification_basis,verification_status
LASA_97ef9113d4cb5cbfa4bb,GENERIC:FORM_8a71795bd961f8ca4f9c,generic,"Thiamine Mononitrate (Vitamin B1), Pyridoxine Hydrochloride (Vitamin B6), Cyanocobalamin (Vitamin B12)",GENERIC:FORM_9e731f1fc5ba9205e230,generic,Thiamine Mononitrate (Vitamins b1) + Pyridoxine Hydrochloride (Vitamin b6) + Cyanocobalamin (Vitamin B12),generic_generic,0.997647,1,0.988235,T555,T555,1.0,0.997619,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_5ade26131bcc8cc51341,GENERIC:FORM_000de4e59432eda4733e,generic,Paracetamol + Thiamine Mononitrate (Vitamin B) + Pyridoxine HCl (Vitamin B) + Cyanocobalamin (Vitamin B12),GENERIC:FORM_9d1538f975feb8068b47,generic,Paracetamol + Thiamine Mononitrate (Vitamin B1) + Pyridoxine HCl (Vitamin B) + Cyanocobalamin (Vitamin B12,generic_generic,0.997619,1,0.988095,P623,P623,1.0,0.99759,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_16a5792fa49d584f4e61,GENERIC:FORM_4a2f32c2054a5b3b5071,generic,Thiamine Mononitrate (Vitamin B) + Pyridoxine Hydrochloride (Vitamin B6) + Cyanocobalamin (Vitamin B12),GENERIC:FORM_f569ee1f1a2e068f7274,generic,Thiamine Mononitrate (Vitamin B1) / Pyridoxine Hydrochloride (Vitamin B6) / Cyanocobalamin (Vitamin B12),generic_generic,0.997619,1,0.988095,T555,T555,1.0,0.99759,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_4e96629a903edf25e5cf,GENERIC:FORM_4a2f32c2054a5b3b5071,generic,Thiamine Mononitrate (Vitamin B) + Pyridoxine Hydrochloride (Vitamin B6) + Cyanocobalamin (Vitamin B12),GENERIC:FORM_64f8476830179dd41acd,generic,Thiamine Mononitrate (Vitamin B1)+Pyridoxine Hydrochloride(Vitamin B6)+Cyanocobalamin (Vitamin B12),generic_generic,0.997619,1,0.988095,T555,T555,1.0,0.99759,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_1f526e4407a61dac7740,GENERIC:FORM_4a2f32c2054a5b3b5071,generic,Thiamine Mononitrate (Vitamin B) + Pyridoxine Hydrochloride (Vitamin B6) + Cyanocobalamin (Vitamin B12),GENERIC:FORM_8a71795bd961f8ca4f9c,generic,"Thiamine Mononitrate (Vitamin B1), Pyridoxine Hydrochloride (Vitamin B6), Cyanocobalamin (Vitamin B12)",generic_generic,0.997619,1,0.988095,T555,T555,1.0,0.99759,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_11d64d90babfd6da788a,GENERIC:FORM_c4f426204fc36d0bb287,generic,Thiamine Mononitrate (Vitamin B1) + Pyridoxine Hydrochloride (Vitamin B + Cyanocobalamin (Vitamin B12),GENERIC:FORM_f569ee1f1a2e068f7274,generic,Thiamine Mononitrate (Vitamin B1) / Pyridoxine Hydrochloride (Vitamin B6) / Cyanocobalamin (Vitamin B12),generic_generic,0.997619,1,0.988095,T555,T555,1.0,0.99759,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_637546dd634cf776584f,GENERIC:FORM_c4f426204fc36d0bb287,generic,Thiamine Mononitrate (Vitamin B1) + Pyridoxine Hydrochloride (Vitamin B + Cyanocobalamin (Vitamin B12),GENERIC:FORM_64f8476830179dd41acd,generic,Thiamine Mononitrate (Vitamin B1)+Pyridoxine Hydrochloride(Vitamin B6)+Cyanocobalamin (Vitamin B12),generic_generic,0.997619,1,0.988095,T555,T555,1.0,0.99759,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_b16487fe4c67c420f6a0,GENERIC:FORM_c4f426204fc36d0bb287,generic,Thiamine Mononitrate (Vitamin B1) + Pyridoxine Hydrochloride (Vitamin B + Cyanocobalamin (Vitamin B12),GENERIC:FORM_8a71795bd961f8ca4f9c,generic,"Thiamine Mononitrate (Vitamin B1), Pyridoxine Hydrochloride (Vitamin B6), Cyanocobalamin (Vitamin B12)",generic_generic,0.997619,1,0.988095,T555,T555,1.0,0.99759,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_5b6b19eb8205fee93678,GENERIC:FORM_64f8cab821685d9fafaf,generic,Thiamine Hydrochloride (Vit. B1) + Pyridoxine Hydrochloride (Vit. B6) + Cyanocobalamin (Vit. B12),GENERIC:FORM_abab6351065e6ed5d95f,generic,Thiamine Hydrochloride (Vit. B1) + Pyridoxine Hydrochloride (Vit. B6) + Cyanocobalamine (Vit. B12),generic_generic,0.997333,1,0.986667,T553,T553,1.0,0.994558,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_69d88dc90ff09b7d6d26,GENERIC:FORM_64f8cab821685d9fafaf,generic,Thiamine Hydrochloride (Vit. B1) + Pyridoxine Hydrochloride (Vit. B6) + Cyanocobalamin (Vit. B12),GENERIC:FORM_75aec81c051e0e08262b,generic,Thiamine Hydrochloride (Vit. B1) + Pyridoxine Hydrochloride (Vit. B6) + Cyanocoballamin (Vit. B12),generic_generic,0.997333,1,0.986667,T553,T553,1.0,0.997297,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_eb2248ff0052e1a0d405,GENERIC:FORM_d1ed4945eac73825c8e5,generic,Thiamine Mononitrate (Vit B1) + Pyridoxine Hydrochloride (Vit B6) + Cyanocobalamin (Vit B12),GENERIC:FORM_c8703d99d13666295cc9,generic,Thiamine Mononitrate (Vit. B1) + Pyridoxine Hydrochloride (Vit. B6) + Cyanocobalamine (Vit. B12),generic_generic,0.99726,1,0.986301,T555,T555,1.0,0.994405,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_f1cb6c8e50b552336390,GENERIC:FORM_d1ed4945eac73825c8e5,generic,Thiamine Mononitrate (Vit B1) + Pyridoxine Hydrochloride (Vit B6) + Cyanocobalamin (Vit B12),GENERIC:FORM_fb89d5a45db2a21f1fc2,generic,Thiamine Mononitrate (Vit. B1)/ Pyridoxine Hydrochloride (Vit. B6) / Cyanocobalamine (Vit. B12),generic_generic,0.99726,1,0.986301,T555,T555,1.0,0.994405,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_4d5bffc76f2b496cf126,GENERIC:FORM_c8703d99d13666295cc9,generic,Thiamine Mononitrate (Vit. B1) + Pyridoxine Hydrochloride (Vit. B6) + Cyanocobalamine (Vit. B12),GENERIC:FORM_cc927ebbfe67f901ac7b,generic,"Thiamine Mononitrate (Vit. B1), Pyridoxine Hydrochloride (Vit. B6), Cyanocobalamin (Vit. B12)",generic_generic,0.99726,1,0.986301,T555,T555,1.0,0.994405,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_5dd939853c11a80d9334,GENERIC:FORM_cc927ebbfe67f901ac7b,generic,"Thiamine Mononitrate (Vit. B1), Pyridoxine Hydrochloride (Vit. B6), Cyanocobalamin (Vit. B12)",GENERIC:FORM_fb89d5a45db2a21f1fc2,generic,Thiamine Mononitrate (Vit. B1)/ Pyridoxine Hydrochloride (Vit. B6) / Cyanocobalamine (Vit. B12),generic_generic,0.99726,1,0.986301,T555,T555,1.0,0.994405,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_55f5bef1d76c042af09b,GENERIC:FORM_d6bbe9ec9e72d0d1ac28,generic,Thiamine Mononitrate (Vit. B) + Pyridoxine Hydrochloride (Vit. B6) + Cyanocobalamin (Vit. B12),GENERIC:FORM_cc927ebbfe67f901ac7b,generic,"Thiamine Mononitrate (Vit. B1), Pyridoxine Hydrochloride (Vit. B6), Cyanocobalamin (Vit. B12)",generic_generic,0.997222,1,0.986111,T555,T555,1.0,0.997183,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_ec8e57ec3cedccd07a9d,GENERIC:FORM_3a00eefbd25d45460113,generic,Paracetamol + Caffeine + Phenylephrine hydrochloride + Chlorphenamine maleate,GENERIC:FORM_76b79d798b504dac56ec,generic,Paracetamol + Caffeine + Phenylephrine hydrochlroide) + Chlorphenamine maleate,generic_generic,0.99697,2,0.969697,P623,P623,1.0,0.996825,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_c386330a13a7ee91ccc3,GENERIC:FORM_18113e02ef60bce2e2cc,generic,Clotrimazole + Gentamicin (as Sulfate) + Betamethasone (as Diproprionate),GENERIC:FORM_93e7ace5e4c20bbbe8b8,generic,Clotrimazole + Gentamicin (As Sulfate) +Betamethasone (As Dipropionate),generic_generic,0.99661,1,0.983051,C436,C436,1.0,0.996552,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_131c697627473ab7e035,GENERIC:FORM_1267606464c05ca8fba5,generic,Dapagliflozin + Metformin Hydrochloride (in extended- release form),GENERIC:FORM_c6a65515d3681fbf1158,generic,Dapagliflozin + Metformin hydrocloride in extended-release form),generic_generic,0.996429,1,0.982143,D124,D124,1.0,0.996429,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_0a24c544158d7177665c,GENERIC:FORM_e397940b9e86e150fa30,generic,Sitagliptin (as phosphate monohydarte) + Metformin Hydrochloride,GENERIC:FORM_6a468aa0b62e9469c6b1,generic,Sitagliptin (as Phosphate Monohydrate) - Metformin Hydrochloride,generic_generic,0.996364,2,0.963636,S324,S324,1.0,0.996226,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_66927ad3aa0c73928d13,GENERIC:FORM_e397940b9e86e150fa30,generic,Sitagliptin (as phosphate monohydarte) + Metformin Hydrochloride,GENERIC:FORM_7917c5864ba3bbe227ce,generic,Sitagliptin(as phosphate monohydrate) + Metformin Hydrochloride,generic_generic,0.996364,2,0.963636,S324,S324,1.0,0.996226,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_f5a51a73648976b03009,GENERIC:FORM_67e17ff6d6273ac744f7,generic,Sitagliptin (as phosphate monohydrate) + Metformin Hydrochlorid,GENERIC:FORM_6a468aa0b62e9469c6b1,generic,Sitagliptin (as Phosphate Monohydrate) - Metformin Hydrochloride,generic_generic,0.996364,1,0.981818,S324,S324,1.0,0.996226,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_8c7a1a17053c79428445,GENERIC:FORM_67e17ff6d6273ac744f7,generic,Sitagliptin (as phosphate monohydrate) + Metformin Hydrochlorid,GENERIC:FORM_7917c5864ba3bbe227ce,generic,Sitagliptin(as phosphate monohydrate) + Metformin Hydrochloride,generic_generic,0.996364,1,0.981818,S324,S324,1.0,0.996226,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
LASA_3d4815afd23118a6e846,GENERIC:FORM_047844e52b25464f84f5,generic,Salbutamol (as Sulfate) + Bromhexine Hydrochloride + Guaifenesin,GENERIC:FORM_4f8defbb7cdf4e2b931a,generic,Salbutamol (As Sulfate) + Bromhexine Hydrochloride + Guiafenesin,generic_generic,0.996226,2,0.962264,S413,S413,1.0,0.996226,edit_similarity|filipino_phonology_experimental|jaro_winkler|orthographic_phonetic_agreement|soundex_exact,high,probable_generic_spelling_variant,spelling_variant_or_probable_typo,close generic-name spelling; source verification required,unverified_requires_human_review
