brand_name_normalized,generic_names_normalized,registration_numbers,review_reason
actrapid,human insulin (rdna) | insulin human (regular),BR-1008 | BR-1219,same_brand_name_has_multiple_generic_names
insulatard,"isophane insulin human | isophane insulin human, recombinant dna",BR-1010 | BR-1218,same_brand_name_has_multiple_generic_names
novomix 30 flexpen,biphasic insulin aspart 30 | insulin aspart,BR-1014 | BR-1364,same_brand_name_has_multiple_generic_names
scitropin a,somatropin | somatropin (rbe),BR-1058 | BR-1059,same_brand_name_has_multiple_generic_names
prevenar 13,"pneumococcal conjugate vaccine, 13-valent (adsorbed) (see formulation) | pneumococcal conjugate vaccine, 13-valent (adsorbed) [see formulation]",BR-1133 | BR-1308,same_brand_name_has_multiple_generic_names
xeomin,botulinum toxin type a (from clostridium botulinum) | botulinum toxin* type a (*from clostridium botulinum),BR-1233 | BR-1234,same_brand_name_has_multiple_generic_names
novoseven rt,eptacog alfa (activated) | eptacog alfa activated,BR-1282 | BR-1484,same_brand_name_has_multiple_generic_names
poliovac,"inactivated poliomyelitis vaccine (types 1, 2 and 3) | inactivated poliomyelitis vaccine (types 1, 2, and 3)",BR-1379 | BR-1422,same_brand_name_has_multiple_generic_names
pneumosil,pneumococcal polysaccharide conjugate vaccine (adsorbed) (10-valent) | pneumococcal polysaccharide conjugate vaccine. (adsorbed) (10-valent),BR-1350 | BR-1351,same_brand_name_has_multiple_generic_names
green-viii inj.,human blood coagulation factor viii | human coagulation factor viii,BR-1360 | BR-1361,same_brand_name_has_multiple_generic_names
ceparin,heparin (as sodium) | heparin sodium,BR-1435 | DR-XY42377,same_brand_name_has_multiple_generic_names
torcand-32,candesartan | candesartan cilexetil,BR-1438 | DR-XY48684,same_brand_name_has_multiple_generic_names
broncho-vaxom,bacterial lysate | lyophilized bacterial lysate,BR-1440 | DR-XY18770,same_brand_name_has_multiple_generic_names
feiba,factor viii inhibitor bypassing activity | powder for solution for infusion (iv),BR-1443 | BR-1445,same_brand_name_has_multiple_generic_names
rotarix,"live attenuated rotavirus vaccine | rotavirus vaccine (live, attenuated)",BR-674 | BR-776,same_brand_name_has_multiple_generic_names
t-vac,tetanus toxoid ( adsorbed ) | tetanus toxoid (adsorbed),BR-326 | BR-435,same_brand_name_has_multiple_generic_names
i.v. - globulin sn injection,human normal immunoglobulin | human norml immunoglobulin,BR-469 | BR-897,same_brand_name_has_multiple_generic_names
imovax polio,"inactivated poliomyelitis vaccine (type 1,2 and 3) | poliomyelitis vaccine (type 1, 2 and 3) (inactivated)",BR-498 | BR-929,same_brand_name_has_multiple_generic_names
dysport,botulinum toxin type a | clostridium botulinum type a toxin,BR-540 | BR-959,same_brand_name_has_multiple_generic_names
gardasil,"human papillomavirus vaccine (types 6, 11, 16 and 18) (recombinant adsorbed | human papillomavrius vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)",BR-602 | BR-603,same_brand_name_has_multiple_generic_names
cervarix,"human papillomavirus vaccine [types 16 and 18] (recombinant, adjuvanted, adsorbed) | human papillomavirus vaccine [types 16, 18] (recombinant, adjuvanted, adsorbed)",BR-616 | BR-925,same_brand_name_has_multiple_generic_names
eposino,epoetin alfa | epoetin alfa (recombinant human erythropoietin),BR-755 | BR-779,same_brand_name_has_multiple_generic_names
white-c,filgrastim | filgrastim (recombinant human granulocyte colony stimulating factor),BR-778 | BR-920,same_brand_name_has_multiple_generic_names
clexane,enoxaparin (as sodium) | enoxaparin sodium,BR-798 | BR-799,same_brand_name_has_multiple_generic_names
m-m-r ii,"live measles, mumps and rubella vaccine | measles, mumps and rubella vaccine (live, attenuated)",BR-877 | BR-917,same_brand_name_has_multiple_generic_names
renogen,epoetin alfa | epoetin alfa (recombinant human erythropoietin),BR-940 | BR-981,same_brand_name_has_multiple_generic_names
espogen,epoetin alfa (recombinant human erythropoietin) | recombinant human erythropoietin,BR-971 | BR-972,same_brand_name_has_multiple_generic_names
lasix,furosemide | furosemide (as sodium),DR-1110 | DR-1111,same_brand_name_has_multiple_generic_names
fucidin,fusidic acid | sodium fusidate,DR-1170 | DR-XY7269,same_brand_name_has_multiple_generic_names
antamin,chlorphenamine maleate | chlorpheniramine maleate,DR-2359 | DR-XY2450,same_brand_name_has_multiple_generic_names
buscopan,hyoscine n-butylbromide | hyoscine-n-butyl-bromide,DR-4184 | DR-XY41205,same_brand_name_has_multiple_generic_names
