registration_number,generic_name_raw,brand_name_raw,reason
DR-XY23603,None,Pyridoxine Hydrochloride (Vitamin B6),missing_generic_name
DR-XY29891,None,Guaifenesin + Terbutaline Sulfate,missing_generic_name
DR-XY30153,None,Ranitidine (As Hydrochloride),missing_generic_name
DR-XY41448,None,Cholecalciferol,missing_generic_name
DR-XY41459,None,D-Alpha Tocopheryl Acetate + Selenium,missing_generic_name
DR-XY45685,None,Hydrocortisone,missing_generic_name
DRP-12735-10,None,Telmisartan + Amlodipine (as besilate),missing_generic_name
DRP-2219-02,None,Amlodipine (As Besilate),missing_generic_name
DRP-2797-02,None,Mometasone Furoate,missing_generic_name
DRP-2797-03,None,Mometasone Furoate,missing_generic_name
DRP-8514-01,None,Clopidogrel (As Bisulfate),missing_generic_name
