ID,Generic Name,Brand Name,Therapeutic Class,Broad Category,Description,Indication
RAW_0001,abacavir sulfate,Ziagen,Unknown Class,Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Viiv Hlthcare. Formulation: Solution for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0002,abaloparatide,Tymlos,Parathyroid Hormone-Related Peptide Analog [EPC],Endocrine & Metabolic,FDA Approved Prescription Drug. Manufactured by Radius. Formulation: Solution for Subcutaneous administration.,Used as a therapeutic agent for indications related to: Parathyroid Hormone-Related Peptide Analog [EPC].
RAW_0003,abatacept,Orencia,Selective T Cell Costimulation Modulator [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Bristol Myers Squibb. Formulation: Injectable for Iv (Infusion) administration.,Used as a therapeutic agent for indications related to: Selective T Cell Costimulation Modulator [EPC].
RAW_0004,abciximab,Reopro,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Centocor Inc. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0005,abemaciclib,Verzenio,Kinase Inhibitor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Eli Lilly And Co. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Kinase Inhibitor [EPC].
RAW_0006,abiraterone acetate,"Yonsa, Zytiga",Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Janssen Biotech. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0007,abrocitinib,Cibinqo,Janus Kinase Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Pfizer. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Janus Kinase Inhibitor [EPC].
RAW_0008,acalabrutinib,Calquence,Kinase Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Astrazeneca. Formulation: Capsule for Oral administration.,Used as a therapeutic agent for indications related to: Kinase Inhibitor [EPC].
RAW_0009,aceclidine,Vizz,Unknown Class,Respiratory & Allergy,FDA Approved Prescription Drug. Manufactured by Lenz Therap. Formulation: Solution/Drops for Ophthalmic administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0010,acetaminophen and ibuprofen,Combogesic,Nonsteroidal Anti-inflammatory Drug [EPC],Endocrine & Metabolic,FDA Approved Prescription Drug. Manufactured by Aft Pharms Us. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Nonsteroidal Anti-inflammatory Drug [EPC].
RAW_0011,acetohydroxamic acid,Lithostat,Urease Inhibitor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Mission Pharma. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Urease Inhibitor [EPC].
RAW_0012,acetylcholine chloride,Miochol E,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Bausch And Lomb. Formulation: For Solution for Ophthalmic administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0013,acetylcysteine,Acetadote,Antidote [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Cumberland Pharms. Formulation: Injectable for Intravenous administration.,Used as a therapeutic agent for indications related to: Antidote [EPC].
RAW_0014,acoltremon,Tryptyr,TRPM8 Thermoreceptor Agonist [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Alcon Labs Inc. Formulation: Solution/Drops for Ophthalmic administration.,Used as a therapeutic agent for indications related to: TRPM8 Thermoreceptor Agonist [EPC].
RAW_0015,acoramidis hydrochloride,Attruby,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Bridgebio Pharma. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0016,acyclovir and hydrocortisone,Xerese,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Bausch. Formulation: Cream for Topical administration.,Used as a therapeutic agent for indications related to: Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC].
RAW_0017,adagrasib,Krazati,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Bristol. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0018,adalimumab,"Abrilada, Amjevita, Hulio, Humira, Idacio, Yusimry",Tumor Necrosis Factor Blocker [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Pfizer Inc. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Tumor Necrosis Factor Blocker [EPC].
RAW_0019,adapalene,Epiduo,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Galderma Labs Lp. Formulation: Gel for Topical administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0020,adapalene and benzoyl pergolide,"Differin Epiduo, Epiduo Forte, Generic Product",Retinoid [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Sun Pharma Canada. Formulation: Gel for Topical administration.,Used as a therapeutic agent for indications related to: Retinoid [EPC].
RAW_0021,ado-trastuzumab emtansine,Kadcyla,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Genentech. Formulation: Vial for Single-Use administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0022,aducanumab,Aduhelm,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Biogen Inc. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0023,afamelanotide,Scenesse,Unknown Class,Endocrine & Metabolic,FDA Approved Prescription Drug. Manufactured by Clivunel Inc. Formulation: Implant for Subcutaneous administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0024,afatinib,Gilotrif,Kinase Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Boehringer Ingelheim. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Kinase Inhibitor [EPC].
RAW_0025,afatinib mesylate,Gleevec,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Novartis. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0026,afatinib oral,Imkeldi,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Shorla Oncology. Formulation: Solution for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0027,aficamten,Myqorzo,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Cytokinetics. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0028,aflibercept,"Ahzantive, Enzeevu, Eydenzelt, Eylea, Eylea Hd, Opuviz, Pavblu, Yesafili",Vascular Endothelial Growth Factor Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Amgen Inc. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Vascular Endothelial Growth Factor Inhibitor [EPC].
RAW_0029,agalsidase beta,Fabrazyme,Hydrolytic Lysosomal Neutral Glycosphingolipid-specific Enzyme [EPC],Cardiovascular System,FDA Approved Prescription Drug. Manufactured by Genzyme. Formulation: Vial for Intravenous administration.,Used as a therapeutic agent for indications related to: Hydrolytic Lysosomal Neutral Glycosphingolipid-specific Enzyme [EPC].
