Drug A,Filipino Phonemic A,Drug B,Filipino Phonemic B,Phonetic Sim (ALINE),Orthographic Sim (Visual),Blended Risk (POCA),Classification,Comparison Type
nifedipine,nipidipini,nimodipine,nimudipini,0.915,0.8933,90%,Amplified,Generic-to-Generic
bupivacaine,bupibacaini,mepivacaine hydrochloride,mipibacaini,0.9227,0.8788,90%,Amplified,Generic-to-Generic
bupivacaine hydrochloride,bupibacaini,mepivacaine hydrochloride,mipibacaini,0.9227,0.8788,90%,Amplified,Generic-to-Generic
bupivacaine,bupibacaini,ropivacaine hydrochloride,rupibacaini,0.9091,0.8788,89%,Amplified,Generic-to-Generic
bupivacaine hydrochloride,bupibacaini,ropivacaine hydrochloride,rupibacaini,0.9091,0.8788,89%,Amplified,Generic-to-Generic
afatinib,apatinib,imatinib mesylate,imatinib,0.8938,0.8333,86%,Amplified,Generic-to-Generic
afatinib mesylate,apatinib,imatinib mesylate,imatinib,0.8938,0.8333,86%,Amplified,Generic-to-Generic
dapagliflozin and sitagliptin,dapagliplusin and sitagliptin,empagliflozin and linagliptin,impagliplusin and linagliptin,0.9,0.8318,86%,Amplified,Generic-to-Generic
empagliflozin and linagliptin,impagliplusin and linagliptin,ertugliflozin and sitagliptin,irtugliplusin and sitagliptin,0.8862,0.8359,86%,Amplified,Generic-to-Generic
Reopro,riupru,Neupro,niupru,0.925,0.7778,85%,Amplified,Brand-to-Brand
Demerol,dimirul,Remeron,rimirun,0.9,0.8095,85%,Filipino-Only,Brand-to-Brand
Nilotinib,nilutinib,neratinib,niratinib,0.9056,0.8,85%,Amplified,Brand-to-Generic
fitusiran,pitusiran,patisiran,patisiran,0.9111,0.8042,85%,Amplified,Generic-to-Generic
linezolid,linisulid,tedizolid phosphate,tidisulid,0.9,0.8042,85%,Filipino-Only,Generic-to-Generic
amantadine hydrochloride,amantadini,rimantadine,rimantadini,0.8727,0.832,85%,Amplified,Generic-to-Generic
amantadine hydrochloride,amantadini,rimantadine hydrochloride,rimantadini,0.8727,0.832,85%,Amplified,Generic-to-Generic
Amantadine,amantadini,rimantadine hydrochloride,rimantadini,0.8727,0.832,85%,Amplified,Brand-to-Generic
dulaglutide,dulaglutidi,teduglutide,tiduglutidi,0.8727,0.8418,85%,Amplified,Generic-to-Generic
pravastatin,prabastatin,pitavastatin calcium,pitabastatin,0.8792,0.8327,85%,Amplified,Generic-to-Generic
pravastatin,prabastatin,Pitavastatin,pitabastatin,0.8792,0.8327,85%,Amplified,Generic-to-Brand
pravastatin calcium,prabastatin,pitavastatin calcium,pitabastatin,0.8792,0.8327,85%,Amplified,Generic-to-Generic
pravastatin calcium,prabastatin,Pitavastatin,pitabastatin,0.8792,0.8327,85%,Amplified,Generic-to-Brand
lansoprazole,lansuprasuli,pantoprazole sodium,pantuprasuli,0.8792,0.8222,85%,Amplified,Generic-to-Generic
larotrectinib,larutrictinib,taletrectinib,talitrictinib,0.9,0.8065,85%,Filipino-Only,Generic-to-Generic
onabotulinumtoxina,unabutulinumtuxina,incobotulinumtoxina,incubutulinumtuxina,0.9053,0.8091,85%,Filipino-Only,Generic-to-Generic
Minocin,minucin,Pitocin,pitucin,0.8714,0.8095,84%,Filipino-Only,Brand-to-Brand
Betadine,bitadini,methadone hydrochloride,mitaduni,0.8938,0.8056,84%,Amplified,Brand-to-Generic
Pramosone,pramusuni,primidone,primiduni,0.8611,0.8222,84%,Amplified,Brand-to-Generic
Polocaine,pulucaini,prilocaine hydrochloride,prilucaini,0.86,0.8317,84%,Amplified,Brand-to-Generic
ergotamine tartrate,irgutamini,esketamine hydrochloride,iskitamini,0.87,0.82,84%,Amplified,Generic-to-Generic
rufinamide,rupinamidi,safinamide mesylate,sapinamidi,0.915,0.7833,84%,Amplified,Generic-to-Generic
rufinamide mesylate,rupinamidi,safinamide mesylate,sapinamidi,0.915,0.7833,84%,Amplified,Generic-to-Generic
liraglutide,liraglutidi,semaglutide,simaglutidi,0.8682,0.8182,84%,Filipino-Only,Generic-to-Generic
palivizumab,palibisumab,ranibizumab,ranibisumab,0.8682,0.8182,84%,Filipino-Only,Generic-to-Generic
larotrectinib,larutrictinib,repotrectinib,riputrictinib,0.8577,0.8368,84%,Amplified,Generic-to-Generic
mitotane,mitutani,Matulane,matulani,0.8938,0.775,83%,Amplified,Generic-to-Brand
meloxicam,miluxicam,piroxicam,piruxicam,0.9,0.7778,83%,Filipino-Only,Generic-to-Generic
belinostat,bilinustat,vorinostat,burinustat,0.915,0.7524,83%,Filipino-Only,Generic-to-Generic
rimegepant sulfate,rimigipant,zavegepant,sabigipant,0.87,0.8,83%,Filipino-Only,Generic-to-Generic
Tinidazole,tinidasuli,secnidazole,sicnidasuli,0.8682,0.8008,83%,Filipino-Only,Brand-to-Generic
bimekizumab,bimikisumab,mirikizumab,mirikisumab,0.8682,0.8047,83%,Filipino-Only,Generic-to-Generic
erdafitinib,irdapitinib,mirdametinib,mirdamitinib,0.8792,0.782,83%,Filipino-Only,Generic-to-Generic
rabeprazole sodium,rabiprasuli,aripiprazole,aripiprasuli,0.8458,0.819,83%,Filipino-Only,Generic-to-Generic
Dapagliflozin And Saxagliptin,dapagliplusin and saxagliptin,empagliflozin and linagliptin,impagliplusin and linagliptin,0.8672,0.8076,83%,Filipino-Only,Brand-to-Generic
Sabril,sabril,Saphris,sapris,0.85,0.7968,82%,Amplified,Brand-to-Brand
Indocin,inducin,Endocet,inducit,0.9357,0.7143,82%,Filipino-Only,Brand-to-Brand
Impavido,impabidu,Empaveli,impabili,0.8938,0.75,82%,Amplified,Brand-to-Brand
mitotane,mitutani,methadone hydrochloride,mitaduni,0.8812,0.775,82%,Amplified,Generic-to-Generic
darunavir,darunabir,ritonavir,ritunabir,0.8778,0.7778,82%,Filipino-Only,Generic-to-Generic
Vandazole,bandasuli,Tindazole,tindasuli,0.8444,0.8042,82%,Amplified,Brand-to-Brand
daclizumab,daclisumab,teplizumab,tiplisumab,0.845,0.8,82%,Filipino-Only,Generic-to-Generic
daclizumab,daclisumab,tocilizumab,tucilisumab,0.8591,0.8008,82%,Amplified,Generic-to-Generic
loratadine,luratadini,lurasidone hydrochloride,lurasiduni,0.875,0.7771,82%,Amplified,Generic-to-Generic
vecuronium,bicurunium,Rocuronium,rucurunium,0.86,0.7833,82%,Amplified,Generic-to-Brand
Rocuronium,rucurunium,vecuronium bromide,bicurunium,0.86,0.7833,82%,Amplified,Brand-to-Generic
fluvastatin sodium,plubastatin,pravastatin,prabastatin,0.9227,0.7348,82%,Filipino-Only,Generic-to-Generic
fluvastatin sodium,plubastatin,pravastatin calcium,prabastatin,0.9227,0.7348,82%,Filipino-Only,Generic-to-Generic
sarecycline hydrochloride,saricyclini,tigecycline,tigicyclini,0.8318,0.8182,82%,Filipino-Only,Generic-to-Generic
tovorafenib,tuburapinib,vemurafenib,bimurapinib,0.8318,0.8182,82%,Filipino-Only,Generic-to-Generic
trifarotene,triparutini,trifluridine,tripluridini,0.8375,0.8154,82%,Amplified,Generic-to-Generic
triptorelin,tripturilin,trifluridine,tripluridini,0.8417,0.8003,82%,Amplified,Generic-to-Generic
benralizumab,binralisumab,satralizumab,satralisumab,0.8458,0.7963,82%,Filipino-Only,Generic-to-Generic
posaconazole,pusacunasuli,voriconazole,buricunasuli,0.8917,0.7593,82%,Filipino-Only,Generic-to-Generic
risankizumab,risankisumab,crizanlizumab,crisanlisumab,0.8462,0.8009,82%,Filipino-Only,Generic-to-Generic
pafolacianine injection,papulacianini,pegulicianine,pigulicianini,0.8615,0.7821,82%,Amplified,Generic-to-Generic
incobotulinumtoxina,incubutulinumtuxina,letibotulinumtoxina,litibutulinumtuxina,0.85,0.7906,82%,Filipino-Only,Generic-to-Generic
Dapagliflozin And Saxagliptin,dapagliplusin and saxagliptin,ertugliflozin and sitagliptin,irtugliplusin and sitagliptin,0.8345,0.8156,82%,Filipino-Only,Brand-to-Generic
docetaxel,ducitaxil,paclitaxel,paclitaxil,0.76,0.7,73%,Amplified,Generic-to-Generic
