Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
conjugated estrogen (Generic),Conjugated Estrogens (Brand),Generic-to-Brand,0.996,1,100%
Icosapent Ethyl (Brand),icosapent ethinyl (Generic),Brand-to-Generic,0.9906,2,100%
beclomethasone dipropionate (Generic),beclomethasone dipropionate hfa (Generic),Generic-to-Generic,0.9897,4,100%
Carbidopa-Levodopa (Brand),carbidopa levodopa (Generic),Brand-to-Generic,0.9889,1,100%
netupitant and palonosetron (Generic),fosnetupitant and palonosetron (Generic),Generic-to-Generic,0.9867,3,25%
drospirenone and estetrol (Generic),drospirenone and estradiol (Generic),Generic-to-Generic,0.9844,4,100%
botulinum toxin type a (Generic),prabotulinum toxin type a (Generic),Generic-to-Generic,0.984,3,0%
rosuvastain calcium (Generic),rosuvastatin (Generic),Generic-to-Generic,0.9833,1,100%
glycerin phenylbutyrate (Generic),Glycerol Phenylbutyrate (Brand),Generic-to-Brand,0.9823,2,100%
hydrocortisone acetate urea (Generic),hydrocortisone butyrate (Generic),Generic-to-Generic,0.9819,6,100%
tizanidne hydrochloride (Generic),tizanidine hydrochloride (Generic),Generic-to-Generic,0.98,1,100%
tisotumab vedotin (Generic),telisotuzumab vedotin (Generic),Generic-to-Generic,0.9771,4,25%
estradiol and progesterone (Generic),estradiol and levonorgestrel (Generic),Generic-to-Generic,0.9756,10,100%
betaine (Generic),Betadine (Brand),Generic-to-Brand,0.975,1,50%
"omeprazole, sodium bicarbonate (Generic)",omeprazole and sodium bicarbonate (Generic),Generic-to-Generic,0.9731,4,100%
islelizumab (Generic),tislelizumab (Generic),Generic-to-Generic,0.9722,1,75%
carbidopa levodopa (Generic),carbidopa and levodopa (Generic),Generic-to-Generic,0.9721,4,100%
testosterone enanthate (Generic),testosterone undecanoate (Generic),Generic-to-Generic,0.9714,6,100%
valsartan and hydrochlorothiazide (Generic),telmisartan and hydrochlorothiazide (Generic),Generic-to-Generic,0.9681,4,25%
Erythrocin (Brand),erythromycin (Generic),Brand-to-Generic,0.9667,2,100%
prednisone (Generic),prednisolone (Generic),Generic-to-Generic,0.9667,2,100%
prednisone (Generic),prednisolone acetate (Generic),Generic-to-Generic,0.9667,2,100%
prednisone (Generic),prednisolone sodium phosphate (Generic),Generic-to-Generic,0.9667,2,100%
penicillin g potassium (Generic),penicillin v potassium (Generic),Generic-to-Generic,0.9667,1,100%
insulin glargine (Generic),insulin glulisine (Generic),Generic-to-Generic,0.9662,4,100%
insulin aspart (Generic),insulin lispro (Generic),Generic-to-Generic,0.9657,4,100%
insulin aspart injection (Generic),insulin lispro (Generic),Generic-to-Generic,0.9657,4,100%
estradiol and progesterone (Generic),estradiol and norethindrone acetate (Generic),Generic-to-Generic,0.9656,8,100%
hydrocortisone butyrate (Generic),hydrocortisone valproate (Generic),Generic-to-Generic,0.9652,5,100%
fingolimod hcl (Generic),fingolimod lauryl sulfate (Generic),Generic-to-Generic,0.965,5,100%
testosterone cypionate (Generic),testosterone undecanoate (Generic),Generic-to-Generic,0.964,7,100%
Tri-Linyah (Brand),Tri-Lo-Linyah (Brand),Brand-to-Brand,0.9636,2,75%
betamethasone valproate (Generic),betamethasone dipropionate (Generic),Generic-to-Generic,0.9631,7,100%
Sufenta Preservative Free (Brand),Sublimaze Preservative Free (Brand),Brand-to-Brand,0.9626,6,50%
clobetasol propionate (Generic),halobetasol propionate (Generic),Generic-to-Generic,0.9615,2,75%
lidocaine and prilocaine (Generic),lidocaine and tetracaine (Generic),Generic-to-Generic,0.9613,5,100%
estradiol cypionate (Generic),estradiol valproate (Generic),Generic-to-Generic,0.961,5,100%
Lincocin (Brand),Lincomycin (Brand),Brand-to-Brand,0.96,2,75%
Vancocin (Brand),vancomycin (Generic),Brand-to-Generic,0.96,2,75%
nystatin urea (Generic),nystatin topical powder (Generic),Generic-to-Generic,0.9591,5,100%
estradiol and norethindrone acetate (Generic),estradiol and levonorgestrel (Generic),Generic-to-Generic,0.9571,13,100%
ledipasvir and sofosbuvir (Generic),velpatasvir and sofosbuvir (Generic),Generic-to-Generic,0.9566,5,25%
norgestrel and ethinyl estradiol (Generic),norgestimate and ethinyl estradiol (Generic),Generic-to-Generic,0.9563,5,100%
enfortumab vedotin (Generic),brentuximab vedotin (Generic),Generic-to-Generic,0.9558,7,0%
insulin lispro (Generic),insulin glulisine (Generic),Generic-to-Generic,0.9546,6,100%
clindamycin palmitate hydrochloride (Generic),clindamycin phosphate and tretinoin (Generic),Generic-to-Generic,0.9545,11,100%
insulin icodec (Generic),insulin lispro (Generic),Generic-to-Generic,0.9543,6,100%
insulin icodec (Generic),insulin detemir (Generic),Generic-to-Generic,0.9543,7,100%
testosterone cypionate (Generic),testosterone enanthate (Generic),Generic-to-Generic,0.9542,6,100%
lumacaftor and ivacaftor (Generic),tezacaftor and ivacaftor (Generic),Generic-to-Generic,0.954,3,50%
nivolumab and relatlimab (Generic),nivolumab and hyaluronidase (Generic),Generic-to-Generic,0.9539,10,100%
Wellbutrin (Brand),Wellbutrin Sr (Brand),Brand-to-Brand,0.9538,3,100%
Wellbutrin (Brand),Wellbutrin Xl (Brand),Brand-to-Brand,0.9538,3,100%
insulin detemir (Generic),insulin degludec (Generic),Generic-to-Generic,0.9537,6,100%
diclofenac epolamine (Generic),diclofenac sodium misoprostol (Generic),Generic-to-Generic,0.9522,10,100%
nivolumab and hyaluronidase (Generic),atezolizumab and hyaluronidase (Generic),Generic-to-Generic,0.9519,6,0%
